1	50740671	0	13.481486	252	0.000003	0.000003	-0.004805	15557.932219	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48783407	0	12.546850	267	0.000003	0.000003	-0.399780	18130.961878	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	51884777	0	17.041206	265	0.000002	0.000002	0.300701	15192.611719	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48692160	0	17.327116	342	0.000003	0.000003	-0.541567	24950.005234	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	49452139	0	19.585094	384	0.000003	0.000003	-0.559461	29582.349116	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	51265413	0	20.913685	406	0.000003	0.000003	-0.411548	33266.598734	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	49106088	0	17.378354	343	0.000003	0.000003	-0.527208	25130.439929	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	48936990	0	17.154452	355	0.000003	0.000003	-0.552624	27080.254562	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	49045067	0	17.605355	334	0.000003	0.000003	-0.637657	23652.591422	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	48467762	0	15.008306	285	0.000003	0.000003	-0.526747	18853.339947	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	49050937	0	17.605522	358	0.000003	0.000003	-0.437269	27146.715552	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	49261572	0	19.143891	363	0.000003	0.000003	-0.401280	26656.199050	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	49466962	0	20.066686	386	0.000003	0.000003	-0.512241	29371.889870	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	48949017	0	16.402463	347	0.000003	0.000003	-0.491108	26550.676088	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	49135179	0	17.567258	320	0.000003	0.000003	-0.192073	21771.482082	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	47908107	0	12.692287	286	0.000003	0.000003	-0.567266	20800.667597	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48349213	0	14.054613	305	0.000003	0.000003	-0.788896	22361.773604	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48880830	0	15.962533	334	0.000003	0.000003	-0.364611	24970.860911	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48247933	0	13.739716	288	0.000003	0.000003	-0.564158	20194.745402	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	47811305	0	12.440777	260	0.000003	0.000003	-0.792302	17388.770141	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	48827088	0	16.467267	343	0.000003	0.000003	-0.324527	26074.874239	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	49006329	0	16.415416	321	0.000003	0.000003	-0.713232	22721.950921	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48017230	0	13.121268	276	0.000003	0.000003	-0.665807	19028.647929	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48812563	0	15.116962	337	0.000003	0.000003	-0.721169	26184.856372	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	48264307	0	13.709734	317	0.000003	0.000003	-0.504776	24481.367669	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48874314	0	16.304528	353	0.000003	0.000003	-0.730665	27541.217950	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	47852047	0	12.636033	291	0.000003	0.000003	-0.465368	21594.266379	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	48925804	0	17.015859	344	0.000003	0.000003	-0.221274	25553.648863	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48624999	0	14.842487	292	0.000003	0.000003	-0.650514	19905.922576	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
1	48170375	0	13.261934	309	0.000003	0.000003	-0.958039	23709.609937	0.000000	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
